"United Arab Emirates March 29, 2020"
,Workplaces,-29%,Sun Feb 16,Sun Mar 29
,Residential,+12%,Sun Feb 16,Sun Mar 29
"Jordan March 29, 2020"
,Retail & recreation,-74%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-52%,Sun Feb 16,Sun Mar 29
,Parks,-59%,Sun Feb 16,Sun Mar 29
,Transit stations,-89%,Sun Feb 16,Sun Mar 29
,Workplaces,-73%,Sun Feb 16,Sun Mar 29
,Residential,+27%,Sun Feb 16,Sun Mar 29
"Japan March 29, 2020"
,Retail & recreation,-26%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,+40%,Sun Feb 16,Sun Mar 29
,Parks,-25%,Sun Feb 16,Sun Mar 29
,Transit stations,-41%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+40%,Sun Feb 16,Sun Mar 29
"Kenya March 29, 2020"
,Retail & recreation,-45%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-33%,Sun Feb 16,Sun Mar 29
,Parks,-20%,Sun Feb 16,Sun Mar 29
,Transit stations,-39%,Sun Feb 16,Sun Mar 29
,Workplaces,-22%,Sun Feb 16,Sun Mar 29
,Residential,+17%,Sun Feb 16,Sun Mar 29
"Kyrgyzstan March 29, 2020"
,Retail & recreation,-74%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-64%,Sun Feb 16,Sun Mar 29
,Parks,-32%,Sun Feb 16,Sun Mar 29
,Transit stations,-70%,Sun Feb 16,Sun Mar 29
,Workplaces,-43%,Sun Feb 16,Sun Mar 29
,Residential,+15%,Sun Feb 16,Sun Mar 29
"Cambodia March 29, 2020"
,Retail & recreation,-43%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-29%,Sun Feb 16,Sun Mar 29
,Parks,-31%,Sun Feb 16,Sun Mar 29
,Transit stations,-57%,Sun Feb 16,Sun Mar 29
,Workplaces,-15%,Sun Feb 16,Sun Mar 29
,Residential,+12%,Sun Feb 16,Sun Mar 29
"South Korea March 29, 2020"
,Retail & recreation,-19%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,+40%,Sun Feb 16,Sun Mar 29
,Parks,+51%,Sun Feb 16,Sun Mar 29
,Transit stations,-17%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+40%,Sun Feb 16,Sun Mar 29
"Kuwait March 29, 2020"
,Retail & recreation,-56%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-30%,Sun Feb 16,Sun Mar 29
,Parks,-48%,Sun Feb 16,Sun Mar 29
,Transit stations,-49%,Sun Feb 16,Sun Mar 29
,Workplaces,-42%,Sun Feb 16,Sun Mar 29
,Residential,+23%,Sun Feb 16,Sun Mar 29
"Kazakhstan March 29, 2020"
,Retail & recreation,-45%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-24%,Sun Feb 16,Sun Mar 29
,Parks,-20%,Sun Feb 16,Sun Mar 29
,Transit stations,-32%,Sun Feb 16,Sun Mar 29
,Workplaces,-17%,Sun Feb 16,Sun Mar 29
,Residential,+9%,Sun Feb 16,Sun Mar 29
"Laos March 29, 2020"
,Retail & recreation,-45%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-23%,Sun Feb 16,Sun Mar 29
,Parks,-18%,Sun Feb 16,Sun Mar 29
,Transit stations,-47%,Sun Feb 16,Sun Mar 29
,Workplaces,+40%,Sun Feb 16,Sun Mar 29
,Residential,+40%,Sun Feb 16,Sun Mar 29
"Lebanon March 29, 2020"
,Retail & recreation,-73%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-48%,Sun Feb 16,Sun Mar 29
,Parks,-59%,Sun Feb 16,Sun Mar 29
,Transit stations,-84%,Sun Feb 16,Sun Mar 29
,Workplaces,-41%,Sun Feb 16,Sun Mar 29
,Residential,+15%,Sun Feb 16,Sun Mar 29
"Liechtenstein March 29, 2020"
,Retail & recreation,-90%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-22%,Sun Feb 16,Sun Mar 29
,Parks,-40%,Sun Feb 16,Sun Mar 29
,Transit stations,-40%,Sun Feb 16,Sun Mar 29
,Workplaces,-37%,Sun Feb 16,Sun Mar 29
,Residential,-40%,Sun Feb 16,Sun Mar 29
"Sri Lanka March 29, 2020"
,Retail & recreation,-86%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-87%,Sun Feb 16,Sun Mar 29
,Parks,-57%,Sun Feb 16,Sun Mar 29
,Transit stations,-78%,Sun Feb 16,Sun Mar 29
,Workplaces,-50%,Sun Feb 16,Sun Mar 29
,Residential,+32%,Sun Feb 16,Sun Mar 29
"Lithuania March 29, 2020"
,Retail & recreation,-72%,Sun Feb 16,Sun Mar 29
,Grocery & pharmacy,-38%,Sun Feb 16,Sun Mar 29
,Parks,-28%,Sun Feb 16,Sun Mar 29
,Transit stations,-63%,Sun Feb 16,Sun Mar 29
